omc_id,sample_name,non_human_reads,total_reads,kraken_human_reads,collection_date,visit_number,biosample_type,biosample_site,biosample_side,biosample_alias,collection_medium_tube,tube_lot,added_medium,added_medium_lot,swab_type,swab_lot,extraction_kit,lysozyme_treatment,sample_volume,host_depletion,host_depletion_kit,nucleic_acid_concentration,sequencing_date,seq_plate_number,seq_batch_plate_location,seq_plate_location,sequencing_lane,individual_id,microbial_standard
jhu00143,4_Zymo_Micro_Prep_CS_004_Right_Eye_S84,162330,38499352,16810,,,Human Ocular Surface,Conj,Right,S84,,,,,,,Zymo Micro Prep Kit,,20 ul,,,0.6 ng/ul,2025-03-14,,S1289-SC2 A04,,,4.0,0
jhu00144,50_Z_Mini_051_Conj_L_2_S34,147718,35040996,13130,,,Human Ocular Surface,Conj,Left,S34,,,,,,,Zymo Mini Prep Kit,,50 ul,,,1.5 ng/ul,2025-03-14,,S1289-SC2 E02,,,51.0,0
jhu00147,53_Z_Mini_051_Conj_L_3_S37,114590,45066420,16762,,,Human Ocular Surface,Conj,Left,S37,,,,,,,Zymo Mini Prep Kit,,50 ul,,,2.4 ng/ul,2025-03-14,,S1289-SC2 E05,,,51.0,0
jhu00154,5_Zymo_Micro_Prep_CS_005_Left_Eye_S85,53528,40024344,14988,,,Human Ocular Surface,Conj,Left,S85,,,,,,,Zymo Micro Prep Kit,,20 ul,,,1.4 ng/ul,2025-03-14,,S1289-SC2 A05,,,5.0,0
jhu00158,63_Qiagen_DNeasy_049_Conj_L_1_S47,252626,24982470,13428,,,Human Ocular Surface,Conj,Left,S47,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,6.2 ng/ul,2025-03-14,,S1289-SC2 F03,,,49.0,0
jhu00161,66_Qiagen_DNeasy_049_Conj_L_2_S50,181468,14688670,8140,,,Human Ocular Surface,Conj,Left,S50,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,5.1 ng/ul,2025-03-14,,S1289-SC2 F06,,,49.0,0
jhu00164,69_Qiagen_DNeasy_049_Conj_L_3_S53,502054,35063194,23824,,,Human Ocular Surface,Conj,Left,S53,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,4.2 ng/ul,2025-03-14,,S1289-SC2 F09,,,49.0,0
jhu00165,6_Zymo_Micro_Prep_CS_006_Right_Eye_S86,45018,35409510,14064,,,Human Ocular Surface,Conj,Right,S86,,,,,,,Zymo Micro Prep Kit,,20 ul,,,3.2 ng/ul,2025-03-14,,S1289-SC2 A06,,,6.0,0
jhu00168,72_Qiagen_DNeasy_050_Conj_R_1_S56,172474,33123140,24838,,,Human Ocular Surface,Conj,Right,S56,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,2.4 ng/ul,2025-03-14,,S1289-SC2 F12,,,50.0,0
jhu00171,75_Qiagen_DNeasy_050_Conj_R_2_S59,1173226,14314556,6588,,,Human Ocular Surface,Conj,Right,S59,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,3.7 ng/ul,2025-03-14,,S1289-SC2 G03,,,50.0,0
jhu00174,78_Qiagen_DNeasy_050_Conj_R_3_S62,851568,17628764,11838,,,Human Ocular Surface,Conj,Right,S62,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,2.9 ng/ul,2025-03-14,,S1289-SC2 G06,,,50.0,0
jhu00176,7_Zymo_Micro_Prep_CS_007_Left_Eye_S87,62698,43232332,21686,,,Human Ocular Surface,Conj,Left,S87,,,,,,,Zymo Micro Prep Kit,,20 ul,,,3.1 ng/ul,2025-03-14,,S1289-SC2 A07,,,7.0,0
jhu00178,81_Qiagen_DNeasy_051_Conj_L_1_S65,237028,36612768,11498,,,Human Ocular Surface,Conj,Left,S65,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,8.5 ng/ul,2025-03-14,,S1289-SC2 G09,,,51.0,0
jhu00181,84_Qiagen_DNeasy_051_Conj_L_2_S68,227688,21188542,14748,,,Human Ocular Surface,Conj,Left,S68,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,4.3 ng/ul,2025-03-14,,S1289-SC2 G12,,,51.0,0
jhu00184,87_Qiagen_DNeasy_051_Conj_L_3_S71,144870,20109656,13466,,,Human Ocular Surface,Conj,Left,S71,,,,,,,Qiagen DNeasy Blood_Tissue Kit,,30 ul,,,4.1 ng/ul,2025-03-14,,S1289-SC2 H03,,,51.0,0
jhu00187,8_Zymo_Micro_Prep_CS_008_Right_Eye_S88,64446,38966104,18090,,,Human Ocular Surface,Conj,Right,S88,,,,,,,Zymo Micro Prep Kit,,20 ul,,,2 ng/ul,2025-03-14,,S1289-SC2 A08,,,8.0,0
jhu00195,9_Zymo_Micro_Prep_CS_009_Left_Eye_S89,62870,41196538,19850,,,Human Ocular Surface,Conj,Left,S89,,,,,,,Zymo Micro Prep Kit,,20 ul,,,0.9 ng/ul,2025-03-14,,S1289-SC2 A09,,,9.0,0
jhu00196,025RM_Conj_L_1_S1,135732,12268814,5126,2024-10-09,1.0,Human Ocular Surface,Conj,Left,S1,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,2,2025-08-06,,,A2,L006,25.0,0
jhu00197,025RM_Conj_L_2_S2,110586,43959082,15396,2025-10-16,2.0,Human Ocular Surface,Conj,Left,S2,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,1.8,2025-08-06,,,B2,L006,25.0,0
jhu00198,025RM_Conj_L_3_S3,3488320,50162800,17586,2024-11-06,3.0,Human Ocular Surface,Conj,Left,S3,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,2,2025-08-06,,,B11,L006,25.0,0
jhu00199,025RM_Conj_R_1_S4,236406,13173330,5256,2024-10-09,1.0,Human Ocular Surface,Conj,Right,S4,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.5,2025-08-06,,,A1,L006,25.0,0
jhu00200,025RM_Conj_R_2_S5,72762,2307774,868,2024-10-16,2.0,Human Ocular Surface,Conj,Right,S5,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.6,2025-08-06,,,B1,L006,25.0,0
jhu00201,025RM_Conj_R_3_S6,227994,55688896,25642,2024-11-06,3.0,Human Ocular Surface,Conj,Right,S6,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.7,2025-08-06,,,B10,L006,25.0,0
jhu00218,026MH_Conj_L_1_S23,168252,55936422,20474,2024-10-09,1.0,Human Ocular Surface,Conj,Left,S23,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.8,2025-08-06,,,A8,L006,26.0,0
jhu00219,026MH_Conj_L_2_S24,143292,50646898,17926,2024-10-23,2.0,Human Ocular Surface,Conj,Left,S24,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.5,2025-08-06,,,D6,L006,26.0,0
jhu00220,026MH_Conj_L_3_S25,159982,52787182,24278,2024-10-30,3.0,Human Ocular Surface,Conj,Left,S25,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,2.7,2025-08-06,,,F2,L006,26.0,0
jhu00221,026MH_Conj_R_1_S26,152418,45201646,18724,2024-10-09,1.0,Human Ocular Surface,Conj,Right,S26,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,3,2025-08-06,,,A7,L006,26.0,0
jhu00222,026MH_Conj_R_2_S27,121048,47000768,15760,2024-10-23,2.0,Human Ocular Surface,Conj,Right,S27,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,1.6,2025-08-06,,,D5,L006,26.0,0
jhu00223,026MH_Conj_R_3_S28,1523586,55698180,18914,2024-10-30,3.0,Human Ocular Surface,Conj,Right,S28,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,1.7,2025-08-06,,,F1,L006,26.0,0
jhu00243,027AW_Conj_L_3_S48,920128,40300970,14798,2024-11-06,3.0,Human Ocular Surface,Conj,Left,S48,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,3.6,2025-08-06,,,C5,L006,27.0,0
